Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,2,0,96,C7,3176,
pp,1,0,97,C#7,3187,
pp,2,0,97,C#7,3194,
mp,1,0,97,C#7,3200,
mp,2,0,97,C#7,3209,
f,1,0,97,C#7,3218,d
f,1,0,97,C#7,3223,
f,2,0,97,C#7,3234,
pp,1,0,98,D7,3244,d
pp,1,0,98,D7,3249,
pp,2,0,98,D7,3256,
mp,1,0,98,D7,3264,
mp,2,0,98,D7,3273,
f,1,0,98,D7,3283,
f,2,0,98,D7,3292,
pp,1,0,99,D#7,3299,
pp,2,0,99,D#7,3306,
mp,1,0,99,D#7,3314,
mp,2,0,99,D#7,3323,
f,1,0,99,D#7,3332,
f,2,0,99,D#7,3342,d
f,2,0,99,D#7,3348,
pp,1,0,100,E7,3358,
pp,2,0,100,E7,3365,
mp,1,0,100,E7,3371,
mp,2,0,100,E7,3379,
f,1,0,100,E7,3386,
f,2,0,100,E7,3394,
pp,1,0,101,F7,3404,
pp,2,0,101,F7,3411,
mp,1,0,101,F7,3418,
mp,2,0,101,F7,3426,
f,1,0,101,F7,3434,
f,2,0,101,F7,3442,
pp,1,0,102,F#7,3450,d
pp,1,0,102,F#7,3454,d
pp,1,0,102,F#7,3458,
pp,2,0,102,F#7,3463,
mp,1,0,102,F#7,3468,
mp,2,0,102,F#7,3474,
f,1,0,102,F#7,3480,
f,2,0,102,F#7,3487,
pp,1,0,103,G7,3494,
pp,2,0,103,G7,3500,
mp,1,0,103,G7,3506,
mp,2,0,103,G7,3513,
f,1,0,103,G7,3521,
f,2,0,103,G7,3527,
pp,1,0,104,G#7,3534,d
pp,1,0,104,G#7,3538,
pp,2,0,104,G#7,3711,
mp,1,0,104,G#7,3714,
mp,2,0,104,G#7,3717,
f,1,0,104,G#7,3720,
f,2,0,104,G#7,3723,
pp,1,0,105,A7,3730,
pp,2,0,105,A7,3736,d
pp,2,0,105,A7,3740,
mp,1,0,105,A7,3745,
mp,2,0,105,A7,3750,
f,1,0,105,A7,3755,
f,2,0,105,A7,3762,
pp,1,0,106,A#7,3770,
pp,2,0,106,A#7,3775,
mp,1,0,106,A#7,3780,d
mp,1,0,106,A#7,3784,
mp,2,0,106,A#7,3789,
f,1,0,106,A#7,3794,
f,2,0,106,A#7,3800,
pp,1,0,107,B7,3805,
pp,2,0,107,B7,3810,
mp,1,0,107,B7,3815,
mp,2,0,107,B7,3821,
f,1,0,107,B7,3826,
f,2,0,107,B7,3833,
pp,1,0,108,C8,3841,d
pp,1,0,108,C8,3845,
pp,2,0,108,C8,3850,
mp,1,0,108,C8,3855,
mp,2,0,108,C8,3861,
f,1,0,108,C8,3867,
f,2,0,108,C8,3874,
pp,1,0,109,C#8,3881,
pp,2,0,109,C#8,3886,
mp,1,0,109,C#8,3891,
mp,2,0,109,C#8,3896,
f,1,0,109,C#8,3902,d
f,1,0,109,C#8,3907,
f,2,0,109,C#8,3913,
pp,1,0,110,D8,3936,
pp,2,0,110,D8,3941,
mp,1,0,110,D8,3946,
mp,2,0,110,D8,3951,
f,1,0,110,D8,3957,
f,2,0,110,D8,3963,
pp,1,0,111,D#8,3969,
pp,2,0,111,D#8,3973,
mp,1,0,111,D#8,3978,
mp,2,0,111,D#8,3983,
f,1,0,111,D#8,3988,
f,2,0,111,D#8,3993,
pp,1,0,112,E8,3999,
pp,2,0,112,E8,4004,
mp,1,0,112,E8,4009,
mp,2,0,112,E8,4014,
f,1,0,112,E8,4020,
f,2,0,112,E8,4026,
pp,1,0,113,F8,4032,
pp,2,0,113,F8,4037,
mp,1,0,113,F8,4042,
mp,2,0,113,F8,4048,
f,1,0,113,F8,4054,
f,2,0,113,F8,4060,
